"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"KL644, KL1605","JFK","FCO","flyingblue","11/05 9:20PM","11/06 4:20PM","780","1","Boeing 787-10, Airbus A321neo","AMS","25000","","6","","","","169.00","USD","0","","9","","","","261.89","USD","0","","7","","","","378.10","USD","0","","","","","","",""
"AF7, AF1504","JFK","FCO","flyingblue","10/15 9:30PM","10/16 2:25PM","655","1","Boeing 777-300ER, Airbus A320","CDG","26000","","9","","","","156.30","USD","0","","9","","","","248.50","USD","0","","9","","","","363.90","USD","0","","","","","","",""
"AF11, AF1404","JFK","FCO","delta","10/26 2:00AM","10/26 7:45PM","765","1","Boeing 777-300ER, Airbus A320","CDG","37000","","9","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
"AF9, AF1304","JFK","FCO","delta","10/12 11:30PM","10/13 4:35PM","665","1","Boeing 777-300ER, Airbus A220","CDG","42900","","9","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
"AF11, AF1304","JFK","FCO","flyingblue","11/01 1:00AM","11/01 5:25PM","685","1","Boeing 777-300ER, Airbus A320","CDG","67000","","9","","","","157.10","USD","0","","2","","","","250.00","USD","0","","9","","","","366.10","USD","0","","","","","","",""
"KL642, KL1601","JFK","FCO","flyingblue","10/19 4:40PM","10/20 9:35AM","655","1","Boeing 787-10, Airbus A321neo","AMS","18750","","9","","","","167.90","USD","90000","","6","","","","260.10","USD","150500","","2","","","","375.50","USD","0","","","","","","",""
"AF11, AF1404","JFK","FCO","delta","10/29 2:00AM","10/29 7:45PM","765","1","Boeing 777-300ER, Airbus A320","CDG","42000","","9","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
"DL46, KL1607","JFK","FCO","delta","10/25 11:35PM","10/26 7:30PM","895","1","Airbus A330-900neo, Boeing 737-800","AMS","29900","","9","","","","36.20","USD","0","","","","","","","","0","","3","","","","36.20","USD","0","","","","","","",""
"DL230","JFK","FCO","delta","10/29 9:45PM","10/30 11:00AM","495","0","Airbus A330-300","","34000","","9","","","","5.60","USD","0","","8","","","","5.60","USD","0","","4","","","","5.60","USD","0","","","","","","",""
"DL2342, DL214","JFK","FCO","delta","11/04 12:25PM","11/05 8:15AM","830","1","Boeing 737-900, Airbus A330-900neo","ATL","34700","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"AF1, AF1104","JFK","FCO","flyingblue","10/25 5:30PM","10/26 11:30AM","780","1","Boeing 777-200, Airbus A320","CDG","48500","","9","","","","156.30","USD","0","","7","","","","248.50","USD","0","","6","","","","363.90","USD","0","","","","","","",""
"DL1480, DL66","JFK","FCO","delta","11/03 2:55PM","11/04 11:20AM","865","1","Boeing 737-900, Airbus A330-900neo","ATL","34700","","9","","","","5.60","USD","0","","","","","","","","0","","7","","","","5.60","USD","0","","","","","","",""
"KL642, KL1601","JFK","FCO","flyingblue","10/12 4:40PM","10/13 9:35AM","655","1","Boeing 787-10, Airbus A321neo","AMS","18750","","9","","","","167.90","USD","90000","","9","","","","260.10","USD","0","","3","","","","375.50","USD","0","","","","","","",""
"DL5595, DL112","JFK","FCO","delta","11/02 2:00PM","11/03 8:45AM","765","1","Embraer E175, Airbus A330-300","BOS","34700","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"DL5595, DL112","JFK","FCO","delta","10/14 2:00PM","10/15 6:50AM","650","1","Embraer E175, Airbus A330-300","BOS","48200","","9","","","","5.60","USD","0","","","","","","","","0","","7","","","","5.60","USD","0","","","","","","",""
"AF1, AF1204","JFK","FCO","flyingblue","11/05 4:30PM","11/06 8:55AM","625","1","Boeing 777-300ER, Airbus A320","CDG","25000","","5","","","","157.19","USD","89500","","9","","","","250.10","USD","0","","3","","","","366.30","USD","0","","","","","","",""
"DL182","JFK","FCO","delta","11/02 5:25PM","11/03 7:45AM","500","0","Airbus A330-300","","47700","","9","","","","5.60","USD","132500","","9","","","","5.60","USD","0","","8","","","","5.60","USD","0","","","","","","",""
"AF11, AF1404","JFK","FCO","flyingblue","11/04 1:00AM","11/04 7:45PM","765","1","Boeing 777-300ER, Airbus A320","CDG","18750","","4","","","","157.19","USD","89500","","9","","","","250.10","USD","140000","","5","","","","366.30","USD","0","","","","","","",""
"AF9, AF1604","JFK","FCO","delta","10/20 11:30PM","10/21 5:30PM","720","1","Boeing 777-300ER, Airbus A220","CDG","37000","","9","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
"AF9, AF1604","JFK","FCO","flyingblue","10/22 11:30PM","10/23 5:30PM","720","1","Boeing 777-300ER, Airbus A220","CDG","25000","","9","","","","157.19","USD","0","","4","","","","250.10","USD","0","","3","","","","366.30","USD","0","","","","","","",""
"DL1029, DL214","JFK","FCO","delta","10/20 11:00AM","10/21 7:35AM","875","1","Boeing 737-900, Airbus A330-900neo","ATL","29900","","9","","","","5.60","USD","0","","","","","","","","0","","4","","","","5.60","USD","0","","","","","","",""
"AF11, AF1304","JFK","FCO","flyingblue","11/03 1:00AM","11/03 6:25PM","685","1","Boeing 777-300ER, Airbus A320","CDG","80500","","9","","","","156.19","USD","90500","","9","","","","248.40","USD","141500","","5","","","","363.70","USD","0","","","","","","",""
"DL5733, DL112","JFK","FCO","delta","10/19 9:59AM","10/20 6:50AM","891","1","Embraer E175, Airbus A330-300","BOS","29900","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"DL2227, DL214","JFK","FCO","delta","10/20 8:40AM","10/21 7:35AM","1015","1","Boeing 737-900, Airbus A330-900neo","ATL","29900","","9","","","","5.60","USD","0","","","","","","","","0","","7","","","","5.60","USD","0","","","","","","",""
"AF9, AF1304","JFK","FCO","flyingblue","10/13 11:30PM","10/14 4:35PM","665","1","Boeing 777-300ER, Airbus A318","CDG","18750","","9","","","","156.30","USD","90000","","9","","","","248.50","USD","150500","","9","","","","363.90","USD","0","","","","","","",""
"KL646, KL1603","JFK","FCO","flyingblue","10/18 7:10PM","10/19 11:45AM","635","1","Boeing 777-200, Airbus A321neo","AMS","18750","","9","","","","167.80","USD","90500","","8","","","","260.00","USD","151000","","2","","","","375.30","USD","0","","","","","","",""
"DL1029, DL214","JFK","FCO","delta","10/13 11:00AM","10/14 7:35AM","875","1","Boeing 737-900, Airbus A330-900neo","ATL","29900","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"DL2751, DL206","JFK","FCO","delta","10/19 12:59PM","10/20 11:00AM","961","1","Airbus A319, Airbus A330-300","DTW","29900","","9","","","","5.60","USD","0","","","","","","","","0","","7","","","","5.60","USD","0","","","","","","",""
"DL5733, DL112","JFK","FCO","delta","10/14 9:59AM","10/15 6:50AM","891","1","Embraer E175, Airbus A330-300","BOS","35200","","9","","","","5.60","USD","0","","","","","","","","0","","8","","","","5.60","USD","0","","","","","","",""
