"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"DL67, DL2386","FCO","JFK","delta","10/29 1:30PM","10/30 12:59AM","989","1","Airbus A330-900neo, Boeing 737-900","ATL","54000","","9","","","","60.49","EUR","0","","","","","","","","0","","9","","","","60.49","EUR","0","","","","","","",""
"AF1105, AF8","FCO","JFK","flyingblue","10/22 12:30PM","10/22 6:45PM","735","1","Airbus A321, Boeing 777-300ER","CDG","25000","","9","","","","224.83","USD","88500","","3","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"AF1005, AF4","FCO","JFK","flyingblue","10/21 6:05AM","10/21 12:55PM","770","1","Airbus A321, Boeing 777-300ER","CDG","40500","","7","","","","226.33","USD","89000","","9","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
"DL231","FCO","JFK","delta","10/07 12:15PM","10/07 4:11PM","596","0","Airbus A330-300","","56000","","9","","","","55.63","EUR","135000","","2","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/28 12:45PM","10/28 8:20PM","755","1","Boeing 737-900, Boeing 787-10","AMS","25000","","5","","","","224.63","USD","0","","9","","","","321.43","USD","0","","5","","","","455.23","USD","0","","","","","","",""
"AF1105, AF12","FCO","JFK","flyingblue","10/29 12:30PM","10/29 11:45PM","975","1","Airbus A320, Boeing 777-300ER","CDG","57000","","9","","","","224.73","USD","0","","3","","","","321.52","USD","0","","3","","","","455.33","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/15 10:00AM","10/15 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","25000","","9","","","","224.73","USD","0","","2","","","","321.52","USD","0","","9","","","","455.33","USD","0","","","","","","",""
"DL183","FCO","JFK","delta","10/11 10:10AM","10/11 2:07PM","597","0","Airbus A330-300","","66000","","9","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","9","","","","55.63","EUR","0","","","","","","",""
"DL183","FCO","JFK","delta","10/26 11:45AM","10/26 4:50PM","605","0","Airbus A330-300","","49000","","9","","","","55.63","EUR","0","","5","","","","55.63","EUR","0","","5","","","","55.63","EUR","0","","","","","","",""
"AF1505, AF12","FCO","JFK","flyingblue","10/08 3:30PM","10/08 10:40PM","790","1","Airbus A320, Airbus A350-900","CDG","25000","","9","","","","224.83","USD","40000","","3","","","","321.63","USD","148000","","8","","","","455.53","USD","0","","","","","","",""
